Date,Delhi,Mumbai,Chennai,Kolkata
NA,73.39,72.03,71.64,69.23
NA,72.81,71.48,71.14,68.7
NA,72.22,70.92,70.64,68.17
NA,71.62,70.35,70.13,67.63
NA,71.17,69.92,69.74,67.23
NA,70.59,69.37,69.25,66.71
NA,69.99,68.79,68.74,66.17
NA,69.39,68.21,68.22,65.62
NA,69.39,66.21,68.22,65.62
NA,62.29,66.21,68.22,65.62
NA,62.29,66.21,65.71,65.62
NA,62.29,65.21,65.71,64.62
NA,62.44,65.37,65.87,64.77
NA,62.58,65.51,66.02,64.91
NA,62.74,65.68,66.19,65.07
NA,62.89,65.84,66.35,65.22
NA,63.01,65.97,66.48,65.34
NA,63.26,66.24,66.75,65.59
NA,63.51,66.5,67.01,65.84
NA,63.69,66.69,67.21,66.02
NA,63.81,66.82,67.34,66.14
NA,63.94,66.96,67.47,66.27
NA,64.03,67.05,67.57,66.36
NA,64.1,67.13,67.65,66.43
NA,64.3,67.34,67.86,66.63
NA,64.51,67.6,68.12,66.83
NA,64.6,67.69,68.21,66.92
NA,64.65,67.75,68.27,66.97
NA,64.7,67.8,68.32,67.02
NA,64.77,67.87,68.4,67.09
NA,64.82,67.93,68.45,67.14
NA,64.87,67.98,68.5,67.19
NA,65.07,68.19,68.72,67.39
NA,65.23,68.36,68.89,67.59
NA,65.43,68.57,69.1,67.79
NA,65.68,68.84,69.37,68.04
NA,65.92,69.09,69.63,68.29
NA,66.04,69.22,69.76,68.41
NA,66.09,69.27,69.81,68.46
NA,66.14,69.36,69.89,68.54
NA,66.22,69.42,69.96,68.59
NA,66.28,69.47,70.01,68.64
NA,66.36,69.56,70.09,68.72
NA,66.58,69.79,70.33,68.94
NA,66.71,69.93,70.47,69.07
NA,66.96,70.19,70.73,69.32
NA,67.31,70.56,71.11,69.67
NA,67.61,70.88,71.43,69.97
NA,67.86,71.15,71.7,70.22
NA,68.05,71.35,71.9,70.41
NA,68.26,71.57,72.13,70.62
NA,68.45,71.77,72.33,70.81
NA,68.61,71.94,72.5,70.97
NA,68.77,72.11,72.67,71.13
NA,68.92,72.27,72.83,71.29
NA,69.06,72.42,72.98,71.43
NA,69.11,72.47,73.04,71.48
NA,69.17,72.54,73.1,71.54
NA,69.05,72.41,72.97,71.42
NA,68.94,72.29,72.85,71.31
NA,68.79,72.14,72.69,71.15
NA,68.68,72.02,72.58,71.04
NA,68.51,71.84,72.39,70.87
NA,68.4,71.72,72.28,70.76
NA,68.25,71.56,72.12,70.61
NA,68.1,71.43,71.98,70.49
NA,67.96,71.31,71.86,70.38
NA,67.78,71.12,71.67,70.2
NA,67.6,70.93,71.48,70.02
NA,67.41,70.73,71.27,69.83
NA,67.24,70.55,71.09,69.66
NA,67.09,70.39,70.93,69.5
NA,66.99,70.28,70.82,69.4
NA,66.94,70.23,70.77,69.35
NA,66.74,70.01,70.56,69.15
NA,66.54,69.8,70.34,68.95
NA,66.34,69.59,70.13,68.75
NA,66.19,69.43,69.97,68.6
NA,66.04,69.27,69.81,68.45
NA,65.94,69.17,69.7,68.35
NA,65.84,69.06,69.59,68.25
NA,65.78,69,69.53,68.19
NA,65.73,68.94,69.47,68.14
NA,65.79,69.01,69.54,68.2
NA,65.85,69.07,69.6,68.26
NA,65.91,69.13,69.67,68.32
NA,65.75,68.96,69.5,68.16
NA,65.8,68.99,69.52,68.19
NA,65.85,69.01,69.55,68.21
NA,65.95,69.12,69.65,68.31
NA,66,69.17,69.71,68.36
NA,66.06,69.24,69.77,68.42
NA,66.11,69.29,69.83,68.47
NA,66.17,69.35,69.89,68.53
NA,66.24,69.43,69.96,68.6
NA,66.31,69.5,70.04,68.67
NA,66.41,69.61,70.15,68.77
NA,66.46,69.66,70.2,68.82
NA,66.6,69.81,70.35,68.96
NA,66.75,69.97,70.51,69.11
NA,66.81,70.03,70.57,69.17
NA,66.91,70.14,70.68,69.27
NA,67.03,70.27,70.81,69.39
NA,67.15,70.39,70.94,69.51
NA,67.35,70.61,71.15,69.71
NA,67.43,70.69,71.24,69.79
NA,67.49,70.76,71.3,69.85
NA,67.33,70.64,71.19,69.75
NA,67.14,70.44,70.98,69.56
NA,67.07,70.37,70.91,69.49
NA,66.93,70.22,70.76,69.35
NA,66.53,69.79,70.33,68.94
NA,66.29,69.54,70.07,68.7
NA,66.01,69.24,69.77,68.42
NA,65.82,69.04,69.57,68.23
NA,65.58,68.78,69.31,67.99
NA,65.43,68.62,69.15,67.84
NA,65.37,68.56,69.09,67.78
NA,65.28,68.46,68.99,67.69
NA,65.19,68.37,68.9,67.6
NA,65.14,68.32,68.84,67.55
NA,65.09,68.26,68.79,67.5
NA,65.14,68.31,68.84,67.54
NA,65.2,68.36,68.89,67.59
NA,65.25,68.41,68.94,67.63
NA,65.3,68.46,68.99,67.68
NA,65.35,68.51,69.04,67.73
NA,65.26,68.42,68.95,67.64
NA,65.16,68.31,68.84,67.54
NA,65.11,68.26,68.79,67.49
NA,65.18,68.33,68.86,67.56
NA,65.38,68.55,69.08,67.76
NA,65.43,68.6,69.13,67.81
NA,65.49,68.66,69.19,67.87
NA,65.64,68.82,69.35,68.01
NA,65.75,68.94,69.47,68.08
NA,65.88,69.06,69.59,68.15
NA,65.94,69.11,69.64,68.17
NA,66,69.17,69.71,68.19
NA,66.07,69.25,69.78,68.22
NA,66.18,69.36,69.9,68.29
NA,66.24,69.43,69.96,68.31
NA,66.34,69.53,70.07,68.37
NA,66.49,69.69,70.23,68.48
NA,66.59,69.8,70.34,68.54
NA,66.69,69.9,70.48,68.59
NA,64.33,67.4,67.96,66.23
NA,64.27,67.36,67.96,66.16
NA,64.19,67.3,67.9,66.11
NA,64.11,67.22,67.81,66.03
NA,64.01,67.11,67.7,65.93
NA,63.95,67.05,67.64,65.87
NA,63.9,66.99,67.59,65.82
NA,63.84,66.93,67.52,65.76
NA,63.78,66.87,67.46,65.7
NA,63.93,67.03,67.62,65.85
NA,64.17,67.28,67.88,66.09
NA,64.33,67.45,68.05,66.25
NA,64.39,67.51,68.11,66.31
NA,64.5,67.63,68.23,66.42
NA,64.65,67.79,68.39,66.57
NA,64.9,68.06,68.66,66.82
NA,65.22,68.39,69,67.14
NA,65.56,68.76,69.36,67.48
NA,65.76,68.97,69.58,67.68
NA,66.16,69.37,69.98,68.06
NA,66.36,69.58,70.19,68.21
NA,66.51,69.69,70.31,68.27
NA,66.63,69.82,70.43,68.39
NA,66.69,69.88,70.5,68.45
NA,66.64,69.83,70.45,68.4
NA,66.57,69.75,70.37,68.33
NA,66.45,69.63,70.24,68.21
NA,66.29,69.46,70.07,68.05
NA,66.2,69.36,69.97,67.96
NA,66.11,69.27,69.88,67.86
NA,65.96,69.11,69.72,67.71
NA,65.91,69.05,69.66,67.66
NA,65.86,69,69.61,67.61
NA,65.98,69.13,69.74,67.73
NA,66.28,69.45,70.06,68.04
NA,66.47,69.65,70.26,68.23
NA,66.56,69.74,70.36,68.32
NA,66.66,69.81,70.43,68.4
NA,66.71,69.86,70.48,68.45
NA,66.66,69.77,70.39,68.39
NA,66.71,69.83,70.44,68.45
NA,66.66,69.77,70.39,68.4
NA,66.61,69.72,70.34,68.35
NA,66.54,69.65,70.26,68.28
NA,66.46,69.56,70.17,68.2
NA,66.39,69.49,70.1,68.13
